Schluesse;Straftat;Gemeindeschluessel;Stadt_Landkreis;Kreisart;erfasste_Faelle;HZ_nach_Zensus;Versuche_Anzahl;Versuche_Anteil_in_Prozent;mit_Schusswaffe_gedroht;mit_Schusswaffe_geschossen;aufgeklaerte_Faelle;Aufklaerungsquote;Tatverdaechtige_insgesamt;Tatverdaechtige_maennlich;Tatverdaechtige_weiblich;Nichtdeutsche_Tatverdaechtige_Anzahl;Nichtdeutsche_Tatverdaechtige_Anteil_in_Prozent
890000;Straftaten insgesamt, jedoch ohne Verstöße gegen das Aufenthalts-, das Asylverfahrens- und das Freizügigkeitsgesetz/EU (Schlüssel 725000);1051;Dithmarschen;K;7336;5529;481;6.6;10;16;3945;53.8;2999;2232;767;334;11.1
890000;Straftaten insgesamt, jedoch ohne Verstöße gegen das Aufenthalts-, das Asylverfahrens- und das Freizügigkeitsgesetz/EU (Schlüssel 725000);1053;Herzogtum Lauenburg;K;10576;5546;997;9.4;19;19;5229;49.4;4065;3065;1000;753;18.5
890000;Straftaten insgesamt, jedoch ohne Verstöße gegen das Aufenthalts-, das Asylverfahrens- und das Freizügigkeitsgesetz/EU (Schlüssel 725000);1054;Nordfriesland;K;8823;5439;577;6.5;17;10;4447;50.4;3463;2653;810;461;13.3
890000;Straftaten insgesamt, jedoch ohne Verstöße gegen das Aufenthalts-, das Asylverfahrens- und das Freizügigkeitsgesetz/EU (Schlüssel 725000);1055;Ostholstein;K;12756;6431;1009;7.9;19;29;5989;47.0;4863;3724;1139;804;16.5
890000;Straftaten insgesamt, jedoch ohne Verstöße gegen das Aufenthalts-, das Asylverfahrens- und das Freizügigkeitsgesetz/EU (Schlüssel 725000);1056;Pinneberg;K;19687;6474;1633;8.3;17;20;9084;46.1;7141;5508;1633;1777;24.9
890000;Straftaten insgesamt, jedoch ohne Verstöße gegen das Aufenthalts-, das Asylverfahrens- und das Freizügigkeitsgesetz/EU (Schlüssel 725000);1057;Plön;K;5843;4606;506;8.7;7;10;2777;47.5;2332;1779;553;273;11.7
890000;Straftaten insgesamt, jedoch ohne Verstöße gegen das Aufenthalts-, das Asylverfahrens- und das Freizügigkeitsgesetz/EU (Schlüssel 725000);1058;Rendsburg-Eckernförde;K;13084;4871;1180;9.0;21;49;6753;51.6;5179;3916;1263;678;13.1
890000;Straftaten insgesamt, jedoch ohne Verstöße gegen das Aufenthalts-, das Asylverfahrens- und das Freizügigkeitsgesetz/EU (Schlüssel 725000);1059;Schleswig-Flensburg;K;8290;4238;618;7.5;12;6;4516;54.5;3551;2725;826;488;13.7
890000;Straftaten insgesamt, jedoch ohne Verstöße gegen das Aufenthalts-, das Asylverfahrens- und das Freizügigkeitsgesetz/EU (Schlüssel 725000);1060;Segeberg;K;15197;5735;1313;8.6;23;21;6890;45.3;5738;4406;1332;1108;19.3
890000;Straftaten insgesamt, jedoch ohne Verstöße gegen das Aufenthalts-, das Asylverfahrens- und das Freizügigkeitsgesetz/EU (Schlüssel 725000);1061;Steinburg;K;7362;5654;588;8.0;14;15;3680;50.0;2756;2125;631;433;15.7
890000;Straftaten insgesamt, jedoch ohne Verstöße gegen das Aufenthalts-, das Asylverfahrens- und das Freizügigkeitsgesetz/EU (Schlüssel 725000);1062;Stormarn;K;13671;5776;1516;11.1;19;11;5539;40.5;4692;3605;1087;983;21.0
890000;Straftaten insgesamt, jedoch ohne Verstöße gegen das Aufenthalts-, das Asylverfahrens- und das Freizügigkeitsgesetz/EU (Schlüssel 725000);2000;Hamburg;KfS;237062;13448;18923;8.0;346;156;100311;42.3;68726;52949;15777;28433;41.4
890000;Straftaten insgesamt, jedoch ohne Verstöße gegen das Aufenthalts-, das Asylverfahrens- und das Freizügigkeitsgesetz/EU (Schlüssel 725000);3101;Braunschweig;KfS;24708;9943;1667;6.7;24;12;14145;57.2;10694;8417;2277;3546;33.2
890000;Straftaten insgesamt, jedoch ohne Verstöße gegen das Aufenthalts-, das Asylverfahrens- und das Freizügigkeitsgesetz/EU (Schlüssel 725000);3102;Salzgitter;KfS;6366;6433;451;7.1;10;9;3795;59.6;3056;2238;818;663;21.7
890000;Straftaten insgesamt, jedoch ohne Verstöße gegen das Aufenthalts-, das Asylverfahrens- und das Freizügigkeitsgesetz/EU (Schlüssel 725000);3103;Wolfsburg;KfS;9567;7776;738;7.7;9;4;5470;57.2;3758;2893;865;1021;27.2
890000;Straftaten insgesamt, jedoch ohne Verstöße gegen das Aufenthalts-, das Asylverfahrens- und das Freizügigkeitsgesetz/EU (Schlüssel 725000);3151;Gifhorn;LK;7744;4488;566;7.3;10;19;4824;62.3;3487;2557;930;654;18.8
890000;Straftaten insgesamt, jedoch ohne Verstöße gegen das Aufenthalts-, das Asylverfahrens- und das Freizügigkeitsgesetz/EU (Schlüssel 725000);3152;Göttingen;LK;18603;7435;1467;7.9;15;16;10578;56.9;7527;5676;1851;1882;25.0
890000;Straftaten insgesamt, jedoch ohne Verstöße gegen das Aufenthalts-, das Asylverfahrens- und das Freizügigkeitsgesetz/EU (Schlüssel 725000);3153;Goslar;LK;9625;7012;700;7.3;18;38;5905;61.4;4312;3172;1140;639;14.8
890000;Straftaten insgesamt, jedoch ohne Verstöße gegen das Aufenthalts-, das Asylverfahrens- und das Freizügigkeitsgesetz/EU (Schlüssel 725000);3154;Helmstedt;LK;5913;6504;560;9.5;25;17;3778;63.9;2785;2127;658;568;20.4
890000;Straftaten insgesamt, jedoch ohne Verstöße gegen das Aufenthalts-, das Asylverfahrens- und das Freizügigkeitsgesetz/EU (Schlüssel 725000);3155;Northeim;LK;7550;5638;560;7.4;4;5;5030;66.6;3665;2738;927;592;16.2
890000;Straftaten insgesamt, jedoch ohne Verstöße gegen das Aufenthalts-, das Asylverfahrens- und das Freizügigkeitsgesetz/EU (Schlüssel 725000);3156;Osterode am Harz;LK;3997;5417;335;8.4;5;5;2719;68.0;1986;1375;611;205;10.3
