Schluesse;Straftat;Gemeindeschluessel;Stadt_Landkreis;Kreisart;erfasste_Faelle;HZ_nach_Zensus;Versuche_Anzahl;Versuche_Anteil_in_Prozent;mit_Schusswaffe_gedroht;mit_Schusswaffe_geschossen;aufgeklaerte_Faelle;Aufklaerungsquote;Tatverdaechtige_insgesamt;Tatverdaechtige_maennlich;Tatverdaechtige_weiblich;Nichtdeutsche_Tatverdaechtige_Anzahl;Nichtdeutsche_Tatverdaechtige_Anteil_in_Prozent
------;Straftaten insgesamt;9575;Neustadt a.d.Aisch-Bad Windsheim;LK;2868;2932;205;7.1;6;5;1858;64.8;1416;1132;284;293;20.7
------;Straftaten insgesamt;9576;Roth;LK;3918;3162;263;6.7;4;6;2281;58.2;1885;1475;410;590;31.3
------;Straftaten insgesamt;9577;Weißenburg-Gunzenhausen;LK;3468;3748;170;4.9;2;6;2647;76.3;1947;1463;484;509;26.1
------;Straftaten insgesamt;9661;Aschaffenburg;KfS;5972;8761;330;5.5;4;4;4243;71.0;3353;2525;828;1381;41.2
------;Straftaten insgesamt;9662;Schweinfurt;KfS;12851;24900;312;2.4;7;6;11574;90.1;10776;7478;3298;9250;85.8
------;Straftaten insgesamt;9663;Würzburg;KfS;12126;9762;737;6.1;11;6;8962;73.9;7021;5730;1291;3463;49.3
------;Straftaten insgesamt;9671;Aschaffenburg;LK;4813;2786;343;7.1;7;13;3284;68.2;2715;2144;571;910;33.5
------;Straftaten insgesamt;9672;Bad Kissingen;LK;3471;3373;233;6.7;5;7;2468;71.1;1713;1290;423;247;14.4
------;Straftaten insgesamt;9673;Rhön-Grabfeld;LK;2642;3316;187;7.1;1;12;1852;70.1;1311;1046;265;172;13.1
------;Straftaten insgesamt;9674;Haßberge;LK;2766;3287;209;7.6;3;10;1909;69.0;1348;1034;314;177;13.1
------;Straftaten insgesamt;9675;Kitzingen;LK;3499;3954;185;5.3;3;4;2290;65.4;1782;1422;360;593;33.3
------;Straftaten insgesamt;9676;Miltenberg;LK;4031;3151;273;6.8;8;2;2944;73.0;2084;1610;474;541;26.0
------;Straftaten insgesamt;9677;Main-Spessart;LK;3873;3076;260;6.7;1;11;2753;71.1;2129;1686;443;476;22.4
------;Straftaten insgesamt;9678;Schweinfurt;LK;2744;2412;211;7.7;1;7;1737;63.3;1376;1085;291;254;18.5
------;Straftaten insgesamt;9679;Würzburg;LK;3781;2374;295;7.8;4;7;2509;66.4;2100;1664;436;622;29.6
------;Straftaten insgesamt;9761;Augsburg;KfS;25659;9128;1406;5.5;14;8;18677;72.8;13699;10498;3201;7038;51.4
------;Straftaten insgesamt;9762;Kaufbeuren;KfS;2565;6105;180;7.0;3;5;1839;71.7;1323;966;357;304;23.0
------;Straftaten insgesamt;9763;Kempten (Allgäu);KfS;4313;6572;264;6.1;5;9;3155;73.2;2297;1717;580;655;28.5
------;Straftaten insgesamt;9764;Memmingen;KfS;3090;7322;198;6.4;5;2;1946;63.0;1580;1208;372;548;34.7
------;Straftaten insgesamt;9771;Aichach-Friedberg;LK;3813;2949;240;6.3;1;3;2702;70.9;2280;1743;537;955;41.9
------;Straftaten insgesamt;9772;Augsburg;LK;8054;3319;474;5.9;6;5;5428;67.4;4599;3529;1070;1508;32.8
------;Straftaten insgesamt;9773;Dillingen a.d.Donau;LK;3770;4033;184;4.9;3;11;2892;76.7;2525;1893;632;1291;51.1
------;Straftaten insgesamt;9774;Günzburg;LK;5479;4497;284;5.2;5;4;3747;68.4;3082;2417;665;1195;38.8
------;Straftaten insgesamt;9775;Neu-Ulm;LK;8551;5095;582;6.8;9;9;5651;66.1;4490;3492;998;1558;34.7
------;Straftaten insgesamt;9776;Lindau (Bodensee);LK;4143;5219;158;3.8;2;6;2992;72.2;2551;2031;520;1324;51.9
------;Straftaten insgesamt;9777;Ostallgäu;LK;4535;3337;254;5.6;2;10;3363;74.2;2666;2047;619;856;32.1
------;Straftaten insgesamt;9778;Unterallgäu;LK;3962;2856;264;6.7;2;9;2628;66.3;2203;1697;506;624;28.3
------;Straftaten insgesamt;9779;Donau-Ries;LK;4968;3816;220;4.4;1;6;3639;73.2;3167;2374;793;1667;52.6
------;Straftaten insgesamt;9780;Oberallgäu;LK;4827;3197;322;6.7;6;12;3438;71.2;2625;2012;613;586;22.3
------;Straftaten insgesamt;10041;Regionalverband Saarbrücken;RV;33230;10206;2545;7.7;41;53;19032;57.3;14400;10595;3805;5978;41.5
------;Straftaten insgesamt;10042;Merzig-Wadern;LK;5654;5490;496;8.8;1;15;3269;57.8;2380;1762;618;508;21.3
------;Straftaten insgesamt;10043;Neunkirchen;LK;7428;5584;598;8.1;11;20;4270;57.5;3165;2284;881;577;18.2
------;Straftaten insgesamt;10044;Saarlouis;LK;18105;9255;1217;6.7;13;18;12280;67.8;10638;8131;2507;6737;63.3
------;Straftaten insgesamt;10045;Saarpfalz-Kreis;LK;7656;5334;615;8.0;10;8;3875;50.6;3165;2420;745;632;20.0
------;Straftaten insgesamt;10046;St. Wendel;LK;3292;3730;255;7.7;0;26;1728;52.5;1455;1131;324;183;12.6
------;Straftaten insgesamt;11000;Berlin;KfS;569550;16414;44953;7.9;394;253;249973;43.9;150434;110643;39791;60125;40.0
------;Straftaten insgesamt;12051;Brandenburg an der Havel;KfS;8763;12337;276;3.1;1;1;4122;47.0;2588;1877;711;307;11.9
------;Straftaten insgesamt;12052;Cottbus;KfS;10741;10796;940;8.8;8;0;5632;52.4;3278;2493;785;530;16.2
------;Straftaten insgesamt;12053;Frankfurt (Oder);KfS;6080;10547;350;5.8;3;4;3681;60.5;3100;2410;690;1610;51.9
------;Straftaten insgesamt;12054;Potsdam;KfS;17425;10622;1396;8.0;3;0;7785;44.7;5202;3816;1386;1309;25.2
------;Straftaten insgesamt;12060;Barnim;LK;12119;6926;1025;8.5;3;6;6419;53.0;5047;3778;1269;757;15.0
------;Straftaten insgesamt;12061;Dahme-Spreewald;LK;13692;8454;807;5.9;3;3;7728;56.4;6051;4480;1571;2200;36.4
------;Straftaten insgesamt;12062;Elbe-Elster;LK;6305;6005;523;8.3;3;1;3286;52.1;1954;1504;450;148;7.6
------;Straftaten insgesamt;12063;Havelland;LK;10866;6992;680;6.3;4;5;5414;49.8;3818;2840;978;476;12.5
------;Straftaten insgesamt;12064;Märkisch-Oderland;LK;12382;6571;869;7.0;6;1;6719;54.3;5110;3812;1298;715;14.0
------;Straftaten insgesamt;12065;Oberhavel;LK;13023;6356;818;6.3;6;10;7072;54.3;5399;4065;1334;850;15.7
------;Straftaten insgesamt;12066;Oberspreewald-Lausitz;LK;9566;8473;1253;13.1;2;2;4590;48.0;2515;1942;573;256;10.2
------;Straftaten insgesamt;12067;Oder-Spree;LK;12899;7254;836;6.5;4;13;7151;55.4;5629;4201;1428;1700;30.2
------;Straftaten insgesamt;12068;Ostprignitz-Ruppin;LK;7462;7546;518;6.9;5;6;4499;60.3;3120;2384;736;304;9.7
------;Straftaten insgesamt;12069;Potsdam-Mittelmark;LK;12851;6193;1036;8.1;8;4;6137;47.8;4694;3670;1024;738;15.7
------;Straftaten insgesamt;12070;Prignitz;LK;5035;6493;308;6.1;4;2;3008;59.7;2102;1566;536;213;10.1
------;Straftaten insgesamt;12071;Spree-Neiße;LK;8097;6860;845;10.4;0;0;4167;51.5;2812;2187;625;620;22.0
------;Straftaten insgesamt;12072;Teltow-Fläming;LK;11495;7118;732;6.4;5;4;6151;53.5;4212;3245;967;663;15.7
------;Straftaten insgesamt;12073;Uckermark;LK;9002;7450;691;7.7;2;0;5145;57.2;3433;2578;855;594;17.3
------;Straftaten insgesamt;13003;Rostock;KfS;20022;9807;926;4.6;5;4;11464;57.3;7700;5746;1954;1560;20.3
------;Straftaten insgesamt;13004;Schwerin;KfS;9650;10473;429;4.4;1;0;5974;61.9;3905;2859;1046;487;12.5
------;Straftaten insgesamt;13071;Mecklenburgische Seenplatte;LK;16734;6394;832;5.0;4;6;10497;62.7;7055;5267;1788;961;13.6
------;Straftaten insgesamt;13072;Landkreis Rostock;LK;11403;5382;728;6.4;4;2;6696;58.7;4693;3583;1110;459;9.8
------;Straftaten insgesamt;13073;Vorpommern-Rügen;LK;15032;6727;866;5.8;3;6;9395;62.5;6473;4851;1622;697;10.8
------;Straftaten insgesamt;13074;Nordwestmecklenburg;LK;9966;6412;498;5.0;1;6;5963;59.8;3835;2917;918;390;10.2
------;Straftaten insgesamt;13075;Vorpommern-Greifswald;LK;16403;6901;860;5.2;6;4;9130;55.7;6333;4786;1547;963;15.2
------;Straftaten insgesamt;13076;Ludwigslust-Parchim;LK;17382;8175;695;4.0;3;3;12672;72.9;10663;8544;2119;5915;55.5
------;Straftaten insgesamt;14511;Chemnitz;KfS;27791;11412;1894;6.8;18;20;17966;64.6;12501;9126;3375;6697;53.6
------;Straftaten insgesamt;14521;Erzgebirgskreis;LK;12811;3665;905;7.1;17;20;8121;63.4;5763;4429;1334;922;16.0
------;Straftaten insgesamt;14522;Mittelsachsen;LK;14704;4702;1015;6.9;14;16;8916;60.6;5960;4502;1458;830;13.9
------;Straftaten insgesamt;14523;Vogtlandkreis;LK;13609;5856;881;6.5;7;29;8640;63.5;6123;4537;1586;1533;25.0
------;Straftaten insgesamt;14524;Zwickau;LK;17957;5523;1241;6.9;8;22;10423;58.0;6655;4988;1667;966;14.5
------;Straftaten insgesamt;14612;Dresden;KfS;56555;10545;5108;9.0;32;19;29804;52.7;17532;12939;4593;4093;23.3
------;Straftaten insgesamt;14625;Bautzen;LK;16016;5224;1338;8.4;11;21;9112;56.9;6282;4769;1513;900;14.3
------;Straftaten insgesamt;14626;Görlitz;LK;22963;8826;2433;10.6;12;15;13445;58.6;8574;6372;2202;3048;35.5
------;Straftaten insgesamt;14627;Meißen;LK;12920;5301;1130;8.7;9;18;7230;56.0;4959;3774;1185;716;14.4
------;Straftaten insgesamt;14628;Sächsische Schweiz-Osterzgebirge;LK;17777;7228;1014;5.7;5;16;13216;74.3;10943;8089;2854;6768;61.8
------;Straftaten insgesamt;14713;Leipzig;KfS;73614;13520;6163;8.4;43;18;33831;46.0;20157;14875;5282;4392;21.8
------;Straftaten insgesamt;14729;Leipzig;LK;15847;6151;1470;9.3;10;6;8135;51.3;5624;4244;1380;772;13.7
------;Straftaten insgesamt;14730;Nordsachsen;LK;12212;6198;1017;8.3;4;12;6427;52.6;4602;3495;1107;530;11.5
------;Straftaten insgesamt;15001;Dessau-Roßlau;KfS;10036;12083;901;9.0;7;25;5655;56.3;3461;2463;998;457;13.2
------;Straftaten insgesamt;15002;Halle (Saale);KfS;32885;14146;4026;12.2;22;23;16645;50.6;10364;7656;2708;2970;28.7
------;Straftaten insgesamt;15003;Magdeburg;KfS;28440;12242;2386;8.4;12;10;14784;52.0;8830;6589;2241;1439;16.3
------;Straftaten insgesamt;15081;Altmarkkreis Salzwedel;LK;5031;5845;352;7.0;1;13;2990;59.4;2354;1711;643;194;8.2
------;Straftaten insgesamt;15082;Anhalt-Bitterfeld;LK;13288;8050;1301;9.8;10;24;7107;53.5;5021;3817;1204;553;11.0
------;Straftaten insgesamt;15083;Börde;LK;10209;5907;832;8.1;6;22;5845;57.3;4203;3124;1079;406;9.7
------;Straftaten insgesamt;15084;Burgenlandkreis;LK;14968;8132;1801;12.0;7;10;8718;58.2;5322;3973;1349;615;11.6
------;Straftaten insgesamt;15085;Harz;LK;19319;8797;1268;6.6;16;29;12239;63.4;10396;7827;2569;5214;50.2
------;Straftaten insgesamt;15086;Jerichower Land;LK;6924;7579;555;8.0;2;10;4049;58.5;3046;2369;677;334;11.0
------;Straftaten insgesamt;15087;Mansfeld-Südharz;LK;10419;7335;952;9.1;8;25;6039;58.0;4206;3099;1107;355;8.4
------;Straftaten insgesamt;15088;Saalekreis;LK;15024;8055;2015;13.4;11;19;7471;49.7;5167;3813;1354;640;12.4
------;Straftaten insgesamt;15089;Salzlandkreis;LK;13034;6625;1090;8.4;13;16;7066;54.2;5152;3809;1343;378;7.3
------;Straftaten insgesamt;15090;Stendal;LK;8334;7268;523;6.3;0;9;4916;59.0;3779;2847;932;566;15.0
------;Straftaten insgesamt;15091;Wittenberg;LK;9928;7713;799;8.0;2;23;5288;53.3;3743;2795;948;350;9.4
------;Straftaten insgesamt;16051;Erfurt;KfS;21005;10186;1109;5.3;8;5;13171;62.7;8844;6305;2539;1492;16.9
------;Straftaten insgesamt;16052;Gera;KfS;9826;10399;808;8.2;2;2;6429;65.4;3806;2754;1052;646;17.0
------;Straftaten insgesamt;16053;Jena;KfS;7046;6512;354;5.0;5;7;4228;60.0;3086;2359;727;506;16.4
------;Straftaten insgesamt;16054;Suhl;KfS;3937;10873;139;3.5;0;2;2981;75.7;2593;2023;570;1491;57.5
------;Straftaten insgesamt;16055;Weimar;KfS;6247;9841;256;4.1;1;0;3518;56.3;2599;1872;727;343;13.2
------;Straftaten insgesamt;16056;Eisenach;KfS;4017;9591;256;6.4;1;2;2598;64.7;1755;1283;472;247;14.1
------;Straftaten insgesamt;16061;Eichsfeld;LK;4051;4022;273;6.7;1;7;2607;64.4;1820;1383;437;211;11.6
------;Straftaten insgesamt;16062;Nordhausen;LK;5694;6694;323;5.7;1;5;3635;63.8;2537;1883;654;238;9.4
------;Straftaten insgesamt;16063;Wartburgkreis;LK;4759;3782;296;6.2;1;3;3096;65.1;2325;1726;599;220;9.5
------;Straftaten insgesamt;16064;Unstrut-Hainich-Kreis;LK;5814;5595;14;0.2;0;0;3925;67.5;2818;2104;714;167;5.9
------;Straftaten insgesamt;16065;Kyffhäuserkreis;LK;4287;5557;229;5.3;3;3;2831;66.0;1707;1272;435;81;4.7
------;Straftaten insgesamt;16066;Schmalkalden-Meiningen;LK;6222;4975;338;5.4;2;10;4281;68.8;3222;2465;757;382;11.9
------;Straftaten insgesamt;16067;Gotha;LK;7945;5869;439;5.5;3;5;5096;64.1;3815;2851;964;698;18.3
------;Straftaten insgesamt;16068;Sömmerda;LK;3622;5135;198;5.5;1;4;2329;64.3;1728;1322;406;110;6.4
------;Straftaten insgesamt;16069;Hildburghausen;LK;2735;4229;128;4.7;1;1;1925;70.4;1438;1066;372;128;8.9
------;Straftaten insgesamt;16070;Ilm-Kreis;LK;6284;5770;470;7.5;3;4;3801;60.5;2565;1962;603;279;10.9
------;Straftaten insgesamt;16071;Weimarer Land;LK;3975;4869;237;6.0;3;2;2534;63.7;1834;1391;443;193;10.5
------;Straftaten insgesamt;16072;Sonneberg;LK;3208;5647;211;6.6;0;3;2298;71.6;1398;1065;333;108;7.7
------;Straftaten insgesamt;16073;Saalfeld-Rudolstadt;LK;6596;6016;435;6.6;2;10;4587;69.5;2876;2209;667;357;12.4
------;Straftaten insgesamt;16074;Saale-Holzland-Kreis;LK;4561;5432;290;6.4;1;5;2887;63.3;2194;1715;479;372;17.0
------;Straftaten insgesamt;16075;Saale-Orla-Kreis;LK;4719;5693;259;5.5;4;4;3143;66.6;2173;1678;495;236;10.9
------;Straftaten insgesamt;16076;Greiz;LK;4866;4800;421;8.7;0;2;3238;66.5;1962;1474;488;207;10.6
------;Straftaten insgesamt;16077;Altenburger Land;LK;7399;7981;720;9.7;0;1;4692;63.4;2463;1834;629;299;12.1
111000;Vergewaltigung und sexuelle Nötigung §§ 177 Abs. 2, 3 und 4, 178 StGB;1001;Flensburg;KfS;7;8;2;28.6;0;0;6;85.7;8;8;0;4;50.0
111000;Vergewaltigung und sexuelle Nötigung §§ 177 Abs. 2, 3 und 4, 178 StGB;1002;Kiel;KfS;30;12;5;16.7;1;0;20;66.7;25;25;0;10;40.0
111000;Vergewaltigung und sexuelle Nötigung §§ 177 Abs. 2, 3 und 4, 178 StGB;1003;Lübeck;KfS;27;13;11;40.7;0;0;19;70.4;20;20;0;2;10.0
111000;Vergewaltigung und sexuelle Nötigung §§ 177 Abs. 2, 3 und 4, 178 StGB;1004;Neumünster;KfS;8;10;5;62.5;0;0;4;50.0;4;4;0;0;0.0
111000;Vergewaltigung und sexuelle Nötigung §§ 177 Abs. 2, 3 und 4, 178 StGB;1051;Dithmarschen;K;20;15;0;0.0;0;0;17;85.0;17;17;0;2;11.8
111000;Vergewaltigung und sexuelle Nötigung §§ 177 Abs. 2, 3 und 4, 178 StGB;1053;Herzogtum Lauenburg;K;18;9;4;22.2;0;0;17;94.4;16;16;0;7;43.8
111000;Vergewaltigung und sexuelle Nötigung §§ 177 Abs. 2, 3 und 4, 178 StGB;1054;Nordfriesland;K;19;12;1;5.3;0;0;15;78.9;17;17;0;4;23.5
111000;Vergewaltigung und sexuelle Nötigung §§ 177 Abs. 2, 3 und 4, 178 StGB;1055;Ostholstein;K;18;9;5;27.8;1;0;14;77.8;15;15;0;2;13.3
111000;Vergewaltigung und sexuelle Nötigung §§ 177 Abs. 2, 3 und 4, 178 StGB;1056;Pinneberg;K;15;5;6;40.0;0;0;10;66.7;10;10;0;2;20.0
111000;Vergewaltigung und sexuelle Nötigung §§ 177 Abs. 2, 3 und 4, 178 StGB;1057;Plön;K;4;3;0;0.0;0;0;2;50.0;2;2;0;1;50.0
111000;Vergewaltigung und sexuelle Nötigung §§ 177 Abs. 2, 3 und 4, 178 StGB;1058;Rendsburg-Eckernförde;K;22;8;3;13.6;0;0;17;77.3;18;18;0;1;5.6
111000;Vergewaltigung und sexuelle Nötigung §§ 177 Abs. 2, 3 und 4, 178 StGB;1059;Schleswig-Flensburg;K;20;10;4;20.0;0;0;17;85.0;16;16;0;2;12.5
